Player,Club,League
Joe Hart,Man City,epl
Fraser Forster,Celtic,spl
Ben Foster,West Brom,epl
Leighton Baines,Everton,epl
Gary Cahill,Chelsea,epl
Phil Jagielka,Everton,epl
Glen Johnson,Liverpool,epl
Phil Jones,Man United,epl
Luke Shaw,Southampton,epl
Chris Smalling,Man United,epl
Ross Barkley,Everton,epl
Steven Gerrard,Liverpool,epl
Jordan Henderson,Liverpool,epl
Adam Lallana,Southampton,epl
Frank Lampard,Chelsea,epl
James Milner,Man City,epl
Alex Oxlade-Chamberlain,Arsenal,epl
Raheem Sterling,Liverpool,epl
Jack Wilshere,Arsenal,epl
Rickie Lambert,Southampton,epl
Wayne Rooney,Man United,epl
Daniel Sturridge,Liverpool,epl
Daniel Welbeck,Man United,epl
