Hugo Lloris,Tottenham,epl
Steve Mandanda,Marseille,fpl
Mickaël Landreau,Bastia,fpl
Mathieu Debuchy,Newcastle United,epl
Lucas Digne,PSG,fpl
Laurent Koscielny,Arsenal,epl
Eliaquim Mangala,Porto,ppl
Bacary Sagna,Arsenal,epl
Mamadou Sakho,Liverpool,epl
Raphaël Varane,Real Madrid,espl
Yohan Cabaye,PSG,fpl
Blaise Matuidi,PSG,fpl
Rio Mavuba,Lille,fpl
Paul Pogba,Juventus,ipl
Moussa Sissoko,Newcastle,epl
Mathieu Valbuena,Marseille,fpl
Remy Cabella,Montpellier,fpl
Morgan Schneiderlin,Southampton,epl
Karim Benzema,Real Madrid,espl
Olivier Giroud,Arsenal,epl
Antoine Griezmann,Sociedad,espl
Loïc Rémy,Newcastle,epl
