Date,Team1,Team2,Score1,Score2
"1930-07-13 12:00:00.000000",France,Mexico,4,1
"1930-07-15 12:00:00.000000",Argentina,France,1,0
"1930-07-19 12:00:00.000000",Chile,France,1,0
"1934-05-27 12:00:00.000000",Austria,France,1,1
"1938-06-05 12:00:00.000000",France,Belgium,3,1
"1938-06-12 12:00:00.000000",France,Italy,1,3
"1954-06-16 12:00:00.000000","Yugoslavia (-2003)",France,1,0
"1954-06-19 12:00:00.000000",France,Mexico,3,2
"1958-06-08 12:00:00.000000",France,Paraguay,7,3
"1958-06-11 12:00:00.000000","Yugoslavia (-2003)",France,3,2
"1958-06-15 12:00:00.000000",France,Scotland,2,1
"1958-06-19 12:00:00.000000",France,"Northern Ireland",4,0
"1958-06-24 12:00:00.000000",France,Brazil,2,5
"1958-06-28 12:00:00.000000","West Germany (-1989)",France,3,6
"1966-07-13 12:00:00.000000",France,Mexico,1,1
"1966-07-15 12:00:00.000000",Uruguay,France,2,1
"1966-07-20 12:00:00.000000",England,France,2,0
"1978-06-02 12:00:00.000000",Italy,France,2,1
"1978-06-06 12:00:00.000000",Argentina,France,2,1
"1978-06-10 12:00:00.000000",France,Hungary,3,1
"1982-06-16 12:00:00.000000",England,France,3,1
"1982-06-21 12:00:00.000000",France,Kuwait,4,1
"1982-06-24 12:00:00.000000",France,"Czechoslovakia (-1992)",1,1
"1982-06-28 12:00:00.000000",Austria,France,0,1
"1982-07-04 12:00:00.000000","Northern Ireland",France,1,4
"1982-07-08 12:00:00.000000","West Germany (-1989)",France,1,1
"1982-07-10 12:00:00.000000",Poland,France,3,2
"1986-06-01 12:00:00.000000",Canada,France,0,1
"1986-06-05 12:00:00.000000",France,"Soviet Union (-1991)",1,1
"1986-06-09 12:00:00.000000",Hungary,France,0,3
"1986-06-17 12:00:00.000000",Italy,France,0,2
"1986-06-21 12:00:00.000000",Brazil,France,1,1
"1986-06-25 12:00:00.000000",France,"West Germany (-1989)",0,2
"1986-06-28 12:00:00.000000",France,Belgium,2,2
"1998-06-12 12:00:00.000000",France,"South Africa",3,0
"1998-06-18 12:00:00.000000",France,"Saudi Arabia",4,0
"1998-06-24 12:00:00.000000",France,Denmark,2,1
"1998-06-28 12:00:00.000000",France,Paraguay,0,0
"1998-07-03 12:00:00.000000",Italy,France,0,0
"1998-07-08 12:00:00.000000",France,Croatia,2,1
"1998-07-12 12:00:00.000000",Brazil,France,0,3
"2002-05-31 12:00:00.000000",France,Senegal,0,1
"2002-06-06 12:00:00.000000",France,Uruguay,0,0
"2002-06-11 12:00:00.000000",Denmark,France,2,0
"2006-06-13 12:00:00.000000",France,Switzerland,0,0
"2006-06-18 12:00:00.000000",France,"South Korea",1,1
"2006-06-23 12:00:00.000000",Togo,France,0,2
"2006-06-27 12:00:00.000000",Spain,France,1,3
"2006-07-01 12:00:00.000000",Brazil,France,0,1
"2006-07-05 12:00:00.000000",Portugal,France,0,1
"2006-07-09 12:00:00.000000",Italy,France,1,1
"2010-06-11 20:30:00.000000",Uruguay,France,0,0
"2010-06-17 20:30:00.000000",France,Mexico,0,2
"2010-06-22 16:00:00.000000",France,"South Africa",1,2
