Player,Club,League
Manuel Neuer,Bayern Munich,bundesliga
Roman Weidenfeller,Dortmund,bundesliga
Ron-Robert Zieler,Hannover,bundesliga
Jerome Boateng,Bayern Munich,bundesliga
Kevin Grosskreutz,Dortmund,bundesliga
Erik Durm,Dortmund,bundesliga
Benedikt Hoewedes,Schalke 04,bundesliga
Mats Hummels,Dortmund,bundesliga
Per Mertesacker,Arsenal,bundesliga
Philipp Lahm,Bayern Munich,bundesliga
Shkodran Mustafi,Sampdoria,ipl
Julian Draxler,Schalke 04,bundesliga
Matthias Ginter,Freiburg,bundesliga
Mario Goetze,Bayern Munich,bundesliga
Christoph Kramer,M'gladbach,bundesliga
Sami Khedira,Real Madrid,espl
Toni Kroos,Bayern Munich,bundesliga
Mesut Ozil,Arsenal,epl
Andre Schuerrle,Chelsea,epl
Bastian Schweinsteiger,Bayern Munich,bundesliga
Miroslav Klose,Lazio,ipl
Thomas Mueller,Bayern Munich,bundesliga
Lukas Podolski,Arsenal,epl
