Date,Team1,Team2,Score1,Score2
"1934-05-27 12:00:00.000000",Germany,Belgium,5,2
"1934-05-31 12:00:00.000000",Germany,Sweden,2,1
"1934-06-03 12:00:00.000000","Czechoslovakia (-1992)",Germany,3,1
"1934-06-07 12:00:00.000000",Germany,Austria,3,2
"1938-06-04 12:00:00.000000",Switzerland,Germany,1,1
"1938-06-09 12:00:00.000000",Germany,Switzerland,2,4
"1994-06-17 12:00:00.000000",Germany,Bolivia,1,0
"1994-06-21 12:00:00.000000",Germany,Spain,1,1
"1994-06-27 12:00:00.000000",Germany,"South Korea",3,2
"1994-07-02 12:00:00.000000",Germany,Belgium,3,2
"1994-07-10 12:00:00.000000",Bulgaria,Germany,2,1
"1998-06-15 12:00:00.000000",Germany,"United States",2,0
"1998-06-21 12:00:00.000000",Germany,"Yugoslavia (-2003)",2,2
"1998-06-25 12:00:00.000000",Germany,Iran,2,0
"1998-06-29 12:00:00.000000",Germany,Mexico,2,1
"1998-07-04 12:00:00.000000",Germany,Croatia,0,3
"2002-06-01 12:00:00.000000",Germany,"Saudi Arabia",8,0
"2002-06-05 12:00:00.000000",Germany,Ireland,1,1
"2002-06-11 12:00:00.000000",Cameroon,Germany,0,2
"2002-06-15 12:00:00.000000",Germany,Paraguay,1,0
"2002-06-21 12:00:00.000000",Germany,"United States",1,0
"2002-06-25 12:00:00.000000",Germany,"South Korea",1,0
"2002-06-30 12:00:00.000000",Germany,Brazil,0,2
"2006-06-09 12:00:00.000000",Germany,"Costa Rica",4,2
"2006-06-14 12:00:00.000000",Germany,Poland,1,0
"2006-06-20 12:00:00.000000",Ecuador,Germany,0,3
"2006-06-24 12:00:00.000000",Germany,Sweden,2,0
"2006-06-30 12:00:00.000000",Germany,Argentina,1,1
"2006-07-04 12:00:00.000000",Germany,Italy,,
"2006-07-08 12:00:00.000000",Germany,Portugal,3,1
"2010-06-13 20:30:00.000000",Germany,Australia,4,0
"2010-06-18 13:30:00.000000",Germany,Serbia,0,1
"2010-06-23 20:30:00.000000",Ghana,Germany,0,1
"2010-06-27 16:00:00.000000",Germany,England,4,1
"2010-07-03 16:00:00.000000",Argentina,Germany,0,4
"2010-07-07 20:30:00.000000",Germany,Spain,0,1
"2010-07-10 20:30:00.000000",Uruguay,Germany,2,3
