Player,Club,League
Maximiliano Pereira,Benfica,ppl
Diego Lugano,West Bromwich Albion,epl
Diego,Atletico Madrid,espl
Jose Maria Gimenez,Atletico Madrid,espl
Sebastian Coates,Liverpool,epl
Martin Caceres,Juventus,ipl
Jorge Fucile,Porto,ppl
Alvaro Gonzalez,Lazio,ipl
Walter Gargano,Parma,ipl
Diego Perez,Bologna,ipl
Cristian Rodriguez,Atletico Madrid,espl
Gaston Ramirez,Southampton,epl
Luis Suarez,Liverpool,epl
Edinson Cavani,Paris St-Germain,fpl
Abel Hernandez,Palermo,ipl
Christian Stuani,Espanyol,espl
