Date,Team1,Team2,Score1,Score2
"1930-07-18 12:00:00.000000",Uruguay,Peru,1,0
"1930-07-21 12:00:00.000000",Uruguay,Romania,4,0
"1930-07-27 12:00:00.000000",Uruguay,"Yugoslavia (-2003)",6,1
"1930-07-30 12:00:00.000000",Uruguay,Argentina,4,2
"1950-07-02 12:00:00.000000",Uruguay,Bolivia,8,0
"1950-07-09 12:00:00.000000",Uruguay,Spain,2,2
"1950-07-13 12:00:00.000000",Uruguay,Sweden,3,2
"1950-07-16 12:00:00.000000",Uruguay,Brazil,2,1
"1954-06-16 12:00:00.000000",Uruguay,"Czechoslovakia (-1992)",2,0
"1954-06-19 12:00:00.000000",Uruguay,Scotland,7,0
"1954-06-26 12:00:00.000000",Uruguay,England,4,2
"1954-06-30 12:00:00.000000",Hungary,Uruguay,2,2
"1954-07-03 12:00:00.000000",Uruguay,Austria,1,3
"1962-05-30 12:00:00.000000",Uruguay,Colombia,2,1
"1962-06-02 12:00:00.000000","Yugoslavia (-2003)",Uruguay,3,1
"1962-06-06 12:00:00.000000","Soviet Union (-1991)",Uruguay,2,1
"1966-07-11 12:00:00.000000",England,Uruguay,0,0
"1966-07-15 12:00:00.000000",Uruguay,France,2,1
"1966-07-19 12:00:00.000000",Mexico,Uruguay,0,0
"1966-07-23 12:00:00.000000","West Germany (-1989)",Uruguay,4,0
"1970-06-02 12:00:00.000000",Uruguay,Israel,2,0
"1970-06-06 12:00:00.000000",Uruguay,Italy,0,0
"1970-06-10 12:00:00.000000",Uruguay,Sweden,0,1
"1970-06-14 12:00:00.000000","Soviet Union (-1991)",Uruguay,0,0
"1970-06-17 12:00:00.000000",Uruguay,Brazil,1,3
"1970-06-20 12:00:00.000000",Uruguay,"West Germany (-1989)",0,1
"1974-06-15 12:00:00.000000",Uruguay,Netherlands,0,2
"1974-06-19 12:00:00.000000",Uruguay,Bulgaria,1,1
"1974-06-23 12:00:00.000000",Sweden,Uruguay,3,0
"1986-06-04 12:00:00.000000",Uruguay,"West Germany (-1989)",1,1
"1986-06-08 12:00:00.000000",Denmark,Uruguay,6,1
"1986-06-13 12:00:00.000000",Scotland,Uruguay,0,0
"1986-06-16 12:00:00.000000",Argentina,Uruguay,1,0
"1990-06-13 12:00:00.000000",Uruguay,Spain,0,0
"1990-06-17 12:00:00.000000",Belgium,Uruguay,3,1
"1990-06-21 12:00:00.000000","South Korea",Uruguay,0,1
"1990-06-25 12:00:00.000000",Italy,Uruguay,2,0
"2002-06-01 12:00:00.000000",Uruguay,Denmark,1,2
"2002-06-06 12:00:00.000000",France,Uruguay,0,0
"2002-06-11 12:00:00.000000",Senegal,Uruguay,3,3
"2010-06-11 20:30:00.000000",Uruguay,France,0,0
"2010-06-16 20:30:00.000000","South Africa",Uruguay,0,3
"2010-06-22 16:00:00.000000",Mexico,Uruguay,0,1
"2010-06-26 16:00:00.000000",Uruguay,"South Korea",2,1
"2010-07-02 20:30:00.000000",Uruguay,Ghana,1,1
"2010-07-06 20:30:00.000000",Uruguay,Netherlands,2,3
"2010-07-10 20:30:00.000000",Uruguay,Germany,2,3
